symbol,signal_ts_ms,signal_utc,direction,entry_price,vol_sum_1s
HAEDALUSDT,1780990551000,2026-06-09T07:35:51+00:00,high,0.01788000,1613021.00000000
STARUSDT,1780992392000,2026-06-09T08:06:32+00:00,low,0.17419000,69650.00000000
HAEDALUSDT,1780994715000,2026-06-09T08:45:15+00:00,low,0.01956000,2434389.00000000
STARUSDT,1780997549000,2026-06-09T09:32:29+00:00,high,0.16264000,66464.00000000
