symbol,signal_ts_ms,signal_utc,direction,entry_price,vol_sum_1s
SYNUSDT,1780981577000,2026-06-09T05:06:17+00:00,low,0.03571000,758118.00000000
SYNUSDT,1780981609000,2026-06-09T05:06:49+00:00,low,0.03506000,2646532.00000000
SYNUSDT,1780981659000,2026-06-09T05:07:39+00:00,high,0.03391000,471794.00000000
ICNTUSDT,1780982143000,2026-06-09T05:15:43+00:00,high,0.21030000,118600.00000000
ICNTUSDT,1780982186000,2026-06-09T05:16:26+00:00,high,0.21400000,332855.00000000
